Date,Open,High,Low,Close,Volume
18-01-2023 15:30,415.9,415.95,407.45,408.4,13310316
19-01-2023 15:30,406.5,407.8,400.1,400.75,13126520
20-01-2023 15:30,404,412.5,401.2,403.15,23906114
23-01-2023 15:30,407,410.95,405,408.4,13113183
24-01-2023 15:30,410,424,410,422.15,30197475
25-01-2023 15:30,423.75,427.25,417.7,419.05,22975581
27-01-2023 15:30,438,453.4,435.15,445.6,63360467
30-01-2023 15:30,445.6,450,437.65,443.65,18316743
31-01-2023 15:30,443.7,454.8,440.9,452.1,25154475
01-02-2023 15:30,456.8,461.5,437.65,446.65,23798589
02-02-2023 15:30,446.75,449.2,440.7,444.8,11344554
03-02-2023 15:30,447,450.8,442.35,445.45,13067403
06-02-2023 15:30,444.45,447,439.55,442,6795084
07-02-2023 15:30,441.7,443.4,432.9,435.45,9023645
08-02-2023 15:30,435.45,441,431.55,440.1,8668267
09-02-2023 15:30,440,440.7,433.55,436.75,7349418
10-02-2023 15:30,437.95,447.8,431.2,445.85,14798390
13-02-2023 15:30,445.5,446.9,438.9,441.05,8333767
14-02-2023 15:30,442,444.3,434.4,440.55,8565559
15-02-2023 15:30,438.5,444.9,438.15,444.15,9857016
16-02-2023 15:30,445,448.25,440.5,441.6,7670688
17-02-2023 15:30,436,442.45,436,439.9,6955445
20-02-2023 15:30,441.8,445.3,436.25,443,9717197
21-02-2023 15:30,445.2,445.2,435.25,436.5,8957930
22-02-2023 15:30,435.3,435.85,428.25,429.45,7209130
23-02-2023 15:30,428.65,436.45,427.2,433.2,9278920
24-02-2023 15:30,435.4,436.7,427,427.75,7895024
27-02-2023 15:30,427.75,428.05,413.05,417.95,10438928
28-02-2023 15:30,419,424.8,419,420.7,9652088
01-03-2023 15:30,421.5,428,421.5,426,7595114
02-03-2023 15:30,426,426.25,419.55,420.45,5661103
03-03-2023 15:30,422.6,430.5,421.95,428,8027522
06-03-2023 15:30,430.95,441.45,430,440.1,11307064
08-03-2023 15:30,439,441.25,436.1,439.3,7850052
09-03-2023 15:30,439.1,442.05,431.3,432.2,5696737
10-03-2023 15:30,433,437.8,430.8,435.85,10417015
13-03-2023 15:30,436.1,437,419.1,422.4,8780169
14-03-2023 15:30,422.85,424.2,413.4,416.65,9189043
15-03-2023 15:30,422,425,410.1,411.35,7681009
16-03-2023 15:30,413.3,418.5,405,415.7,11854885
17-03-2023 15:30,419,423.45,414.55,419,8658701
20-03-2023 15:30,415.6,416.95,405.5,410.75,10075022
21-03-2023 15:30,412.85,413.9,407.7,412.55,7391950
22-03-2023 15:30,416,418.4,413.75,416.1,5728054
23-03-2023 15:30,416,422.5,416,419.15,9817460
24-03-2023 15:30,419,420.55,414.8,416.5,6877960
27-03-2023 15:30,416,418.5,410.25,412.05,7433933
28-03-2023 15:30,414.15,414.5,400.45,401.6,9553659
29-03-2023 15:30,401.6,410.6,401.6,409.2,10478506
31-03-2023 15:30,411.35,421.75,411,420.8,11037881
03-04-2023 15:30,423,424.95,419.5,424.25,6948329
05-04-2023 15:30,424.25,428.75,423.15,426.55,8821326
06-04-2023 15:30,426.5,439.3,423.75,437.65,10907492
10-04-2023 15:30,452.05,473.3,452,461.3,50462653
11-04-2023 15:30,463.75,463.75,455.8,458.7,14495222
12-04-2023 15:30,459.35,468.6,458.2,465.5,13552440
13-04-2023 15:30,464.95,472,463.25,469.5,12733670
17-04-2023 15:30,471,473,465.8,472.15,10710167
18-04-2023 15:30,475,483.35,468.1,473,16140056
19-04-2023 15:30,473,475.5,467.85,469.4,7368610
20-04-2023 15:30,473.7,479.7,469.4,476.8,14264206
21-04-2023 15:30,476.7,476.7,467.2,471.2,8478118
24-04-2023 15:30,471.2,476,468.3,475.2,8020593
25-04-2023 15:30,475.2,476.4,471.9,473.55,6888352
26-04-2023 15:30,473,479.5,472.6,478.2,7791425
27-04-2023 15:30,478.5,482,476.5,481.6,7085793
28-04-2023 15:30,481.4,488,478.35,484.95,9947813
02-05-2023 15:30,482.5,484,474.55,480.25,11542592
03-05-2023 15:30,480.25,485.1,477.75,483.7,8529233
04-05-2023 15:30,483.6,486.4,478.75,480.8,5650101
05-05-2023 15:30,481.65,484.7,476.15,477.1,4830674
08-05-2023 15:30,480,502.3,478.1,500.5,23515333
09-05-2023 15:30,502,512.8,501.55,503.65,19818780
10-05-2023 15:30,508,512.9,504.35,509.5,12481404
11-05-2023 15:30,512,514.15,505.5,511.6,11454020
12-05-2023 15:30,513.9,520.5,510.3,515.95,19766717
15-05-2023 15:30,523.85,537.15,521.5,530.85,38270067
